,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
188,FSLR.OQ,2019-09-30T00:00:00Z,-6.54100209199858,6114623349.67,58.01
189,FSLR.OQ,2019-10-31T00:00:00Z,-10.7222892623669,5459020554.34,51.79
190,FSLR.OQ,2019-11-29T00:00:00Z,6.53809064416293,5822674173.04,55.24
191,FSLR.OQ,2019-12-31T00:00:00Z,1.30340332948189,5900921619.16,55.96
192,FSLR.OQ,2020-01-31T00:00:00Z,-11.4010007143671,5228157503.17999,49.58
193,FSLR.OQ,2020-02-28T00:00:00Z,-10.078585462215,4826797510.13,45.77
194,FSLR.OQ,2020-03-31T00:00:00Z,-21.2147694991513,3818955214.8,36.06
195,FSLR.OQ,2020-04-30T00:00:00Z,22.0465890152242,4660904575.8,44.01
196,FSLR.OQ,2020-05-29T00:00:00Z,5.93047034787175,4937390587.08,46.62
197,FSLR.OQ,2020-06-30T00:00:00Z,6.17760617773893,5242403133.0,49.5
198,FSLR.OQ,2020-07-31T00:00:00Z,20.3030303035575,6310214678.09999,59.55
199,FSLR.OQ,2020-08-31T00:00:00Z,28.6146095688605,8115857971.38,76.59
200,FSLR.OQ,2020-09-30T00:00:00Z,-17.2500000013187,7015543940.8,66.2
201,FSLR.OQ,2020-10-30T00:00:00Z,31.4879154073638,9224695630.605,87.045
202,FSLR.OQ,2020-11-30T00:00:00Z,7.33528634563949,9901353469.67,93.43
203,FSLR.OQ,2020-12-31T00:00:00Z,5.87605694149909,10483587696.72,98.92
204,FSLR.OQ,2021-01-29T00:00:00Z,0.232511120809153,10507963203.9,99.15
205,FSLR.OQ,2021-02-26T00:00:00Z,-22.911512845326,8587017965.96,81.02
206,FSLR.OQ,2021-03-31T00:00:00Z,7.7511725513197,9280944014.4,87.3
207,FSLR.OQ,2021-04-30T00:00:00Z,-11.5566855422685,8136044273.37,76.53
208,FSLR.OQ,2021-05-28T00:00:00Z,-0.548804391444657,8091393305.19,76.11
209,FSLR.OQ,2021-06-30T00:00:00Z,18.9199842320735,9622924091.55,90.51
210,FSLR.OQ,2021-07-30T00:00:00Z,-4.93868080802425,9147712744.08,86.04
211,FSLR.OQ,2021-08-31T00:00:00Z,9.25151092293326,9994014388.0,94.0
